Region,OBJECTID *,CADID *,CREATEDATE,MODIFIEDDATE,LGANAME *,COUNCILNAME,ABSCODE,LTOCODE,VGCODE,WBCODE,STARTDATE,ENDDATE,LASTUPDATE,PACKETID,ISPROCESSED,RECORDSTATUS,Shape *,SHAPE.STArea(),SHAPE.STLength()
FAR WEST,6,108012384,29/7/04 13:22,30/5/16 14:58,BREWARRINA,BREWARRINA SHIRE COUNCIL,1200,6330,233,<Null>,30/5/16 14:58,1/1/00,31/5/16 11:40,9290,<Null>,<Null>,Polygon,1.788351,9.893479
FAR WEST,37,108012421,29/7/04 13:22,13/12/16 9:43,WENTWORTH,WENTWORTH SHIRE COUNCIL,8200,6550,255,<Null>,13/12/16 9:45,1/1/00,13/12/16 11:02,16693,<Null>,<Null>,Polygon,2.548191,11.301401
FAR WEST,45,108012430,29/7/04 13:22,25/5/17 12:19,BROKEN HILL,BROKEN HILL CITY COUNCIL,1250,6340,234,<Null>,25/5/17 12:20,1/1/00,25/5/17 12:21,21909,<Null>,<Null>,Polygon,0.016032,0.640654
FAR WEST,48,108012433,29/7/04 13:22,16/6/16 9:18,COBAR,COBAR SHIRE COUNCIL,1750,6360,236,<Null>,16/6/16 9:18,1/1/00,16/6/16 9:18,9915,<Null>,<Null>,Polygon,4.344829,13.660163
FAR WEST,87,108012473,29/7/04 13:22,1/12/16 17:23,CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,1700,6350,235,<Null>,1/12/16 17:24,1/1/00,1/12/16 17:25,16365,<Null>,<Null>,Polygon,5.097183,16.184236
FAR WEST,114,108012502,29/7/04 13:22,23/3/17 12:39,WALGETT,WALGETT SHIRE COUNCIL,7900,6530,253,<Null>,23/3/17 12:39,1/1/00,23/3/17 12:40,19728,<Null>,<Null>,Polygon,2.082004,9.790992
FAR WEST,119,108012507,29/7/04 13:22,13/12/16 9:43,BALRANALD,BALRANALD SHIRE COUNCIL,300,6300,230,<Null>,13/12/16 9:45,1/1/00,13/12/16 11:02,16693,<Null>,<Null>,Polygon,2.114372,11.456809
FAR WEST,123,108012511,29/7/04 13:22,26/4/17 12:08,BOURKE,BOURKE SHIRE COUNCIL,1150,6390,239,<Null>,26/4/17 12:08,1/1/00,26/4/17 12:08,20710,<Null>,<Null>,Polygon,3.885947,10.618608
FAR WEST,160,108012464,12/9/08 15:41,25/5/17 12:19,UNINCORPORATED,UNINCORPORATED FAR WEST,9339,9002,<Null>,<Null>,25/5/17 12:20,1/1/00,25/5/17 12:21,21909,<Null>,<Null>,Polygon,8.7742,18.867982
RIVERINA MURRAY,20,108012402,29/7/04 13:22,6/4/16 9:08,JUNEE,JUNEE SHIRE COUNCIL,4300,4610,61,<Null>,6/4/16 9:09,1/1/00,6/4/16 9:10,7226,<Null>,<Null>,Polygon,0.200007,2.628655
RIVERINA MURRAY,42,108012427,29/7/04 13:22,10/8/15 17:12,BERRIGAN,BERRIGAN SHIRE COUNCIL,650,4510,51,<Null>,10/8/15 17:13,1/1/00,10/8/15 17:13,317,<Null>,<Null>,Polygon,0.205829,2.918109
RIVERINA MURRAY,47,108012432,29/7/04 13:22,2/11/16 16:52,CARRATHOOL,CARRATHOOL SHIRE COUNCIL,1600,4520,52,<Null>,2/11/16 16:53,1/1/00,2/11/16 16:54,15233,<Null>,<Null>,Polygon,1.839491,11.001906
RIVERINA MURRAY,49,108012434,29/7/04 13:22,3/4/17 12:31,COOLAMON,COOLAMON SHIRE COUNCIL,2000,4540,54,<Null>,3/4/17 12:44,1/1/00,3/4/17 12:54,20137,<Null>,<Null>,Polygon,0.2389,2.763934
RIVERINA MURRAY,54,108012439,29/7/04 13:22,19/12/16 10:09,GREATER HUME,GREATER HUME SHIRE COUNCIL,3340,4602,560,<Null>,19/12/16 10:10,1/1/00,19/12/16 12:38,16947,<Null>,<Null>,Polygon,0.572962,5.596745
RIVERINA MURRAY,55,108012440,29/7/04 13:22,27/7/16 10:58,GRIFFITH,GRIFFITH CITY COUNCIL,3450,4740,74,<Null>,27/7/16 10:59,1/1/00,27/7/16 11:00,11610,<Null>,<Null>,Polygon,0.160476,2.330757
RIVERINA MURRAY,57,108012443,29/7/04 13:22,10/3/16 12:09,HAY,HAY SHIRE COUNCIL,3850,6430,243,<Null>,10/3/16 12:09,1/1/00,10/3/16 12:10,6349,<Null>,<Null>,Polygon,1.109269,7.528339
RIVERINA MURRAY,61,108012447,29/7/04 13:22,28/10/15 12:03,LEETON,LEETON SHIRE COUNCIL,4750,4650,65,<Null>,28/10/15 12:36,1/1/00,30/10/15 15:46,1476,<Null>,<Null>,Polygon,0.11461,2.027425
RIVERINA MURRAY,79,108012465,29/7/04 13:22,18/3/15 15:31,ALBURY,ALBURY CITY COUNCIL,50,4501,50,<Null>,18/3/15 15:33,1/1/00,18/3/15 15:42,0,N,baseline,Polygon,0.030728,1.328184
RIVERINA MURRAY,102,108012489,29/7/04 13:22,29/11/16 11:11,LOCKHART,LOCKHART SHIRE COUNCIL,4950,4660,66,<Null>,29/11/16 11:12,1/1/00,29/11/16 12:30,16250,<Null>,<Null>,Polygon,0.287021,2.775318
RIVERINA MURRAY,105,108012492,29/7/04 13:22,3/4/17 12:31,NARRANDERA,NARRANDERA SHIRE COUNCIL,5800,4700,70,<Null>,3/4/17 12:44,1/1/00,3/4/17 12:54,20137,<Null>,<Null>,Polygon,0.404639,3.962129
RIVERINA MURRAY,111,108012499,29/7/04 13:22,20/9/16 14:33,TEMORA,TEMORA SHIRE COUNCIL,7350,4380,538,<Null>,20/9/16 14:33,1/1/00,21/9/16 11:32,13785,<Null>,<Null>,Polygon,0.274723,3.038109
RIVERINA MURRAY,121,108012509,29/7/04 13:22,20/9/16 14:33,BLAND,BLAND SHIRE COUNCIL,800,6310,231,<Null>,20/9/16 14:33,1/1/00,21/9/16 11:32,13785,<Null>,<Null>,Polygon,0.833902,5.653053
RIVERINA MURRAY,152,108012542,29/7/04 13:22,29/11/16 11:11,WAGGA WAGGA,WAGGA WAGGA CITY COUNCIL,7750,4640,575,<Null>,29/11/16 11:12,1/1/00,29/11/16 12:30,16250,<Null>,<Null>,Polygon,0.477598,4.606528
RIVERINA MURRAY,1380,173953134,12/5/16 13:11,13/9/16 13:49,MURRAY RIVER,MURRAY RIVER COUNCIL,5520,4681,269,<Null>,13/9/16 13:49,1/1/00,13/9/16 13:49,13518,<Null>,<Null>,Polygon,1.17559,11.563134
RIVERINA MURRAY,1381,173953141,12/5/16 13:17,13/9/16 13:49,MURRUMBIDGEE,MURRUMBIDGEE COUNCIL,5560,4690,270,<Null>,13/9/16 13:49,1/1/00,13/9/16 13:49,13518,<Null>,<Null>,Polygon,0.679027,5.749048
RIVERINA MURRAY,1382,173953566,12/5/16 14:10,19/12/16 10:09,FEDERATION,FEDERATION COUNCIL,2870,4731,263,<Null>,19/12/16 10:10,1/1/00,19/12/16 12:38,16947,<Null>,<Null>,Polygon,0.56474,6.273796
RIVERINA MURRAY,1778,173919536,5/5/16 15:08,13/9/16 13:49,EDWARD RIVER,EDWARD RIVER COUNCIL,2730,6671,262,<Null>,13/9/16 13:49,1/1/00,13/9/16 13:49,13519,<Null>,<Null>,Polygon,0.878997,5.930486
RIVERINA MURRAY,1779,173919850,5/5/16 15:24,3/4/17 8:42,SNOWY VALLEYS,SNOWY VALLEYS COUNCIL,7080,4711,274,<Null>,3/4/17 8:43,1/1/00,3/4/17 8:43,20075,<Null>,<Null>,Polygon,0.892839,8.126583
RIVERINA MURRAY,2178,173953581,12/5/16 14:35,3/4/17 8:42,COOTAMUNDRA-GUNDAGAI REGIONAL,COOTAMUNDRA-GUNDAGAI REGIONAL COUNCIL,0,4580,265,<Null>,3/4/17 8:43,1/1/00,3/4/17 8:43,20075,<Null>,<Null>,Polygon,0.39241,5.260729
CENTRAL WEST & ORANA,4,108012381,29/7/04 13:22,8/5/17 15:37,BLAYNEY,BLAYNEY SHIRE COUNCIL,850,5180,118,<Null>,8/5/17 15:38,1/1/00,8/5/17 15:38,21245,<Null>,<Null>,Polygon,0.148095,2.286224
CENTRAL WEST & ORANA,7,108012385,29/7/04 13:22,26/4/17 8:47,CABONNE,CABONNE SHIRE COUNCIL,1400,5090,109,<Null>,26/4/17 8:47,1/1/00,26/4/17 8:48,20709,<Null>,<Null>,Polygon,0.582079,6.723455
CENTRAL WEST & ORANA,11,108012390,29/7/04 13:22,15/12/16 8:33,COONAMBLE,COONAMBLE SHIRE COUNCIL,2150,6380,238,<Null>,15/12/16 8:39,1/1/00,15/12/16 8:44,16813,<Null>,<Null>,Polygon,0.935189,5.684548
CENTRAL WEST & ORANA,28,108012412,29/7/04 13:22,24/8/16 15:51,PARKES,PARKES SHIRE COUNCIL,6200,5160,116,<Null>,24/8/16 15:52,1/1/00,24/8/16 15:53,12688,<Null>,<Null>,Polygon,0.573982,4.319009
CENTRAL WEST & ORANA,41,108012426,29/7/04 13:22,18/5/17 15:47,BATHURST REGIONAL,BATHURST REGIONAL COUNCIL,470,5082,608,<Null>,18/5/17 15:48,1/1/00,18/5/17 15:49,21629,<Null>,<Null>,Polygon,0.370172,5.406518
CENTRAL WEST & ORANA,83,108012469,29/7/04 13:22,8/2/16 9:41,BOGAN,BOGAN SHIRE COUNCIL,950,6320,232,<Null>,8/2/16 9:51,1/1/00,8/2/16 12:51,5031,<Null>,<Null>,Polygon,1.38579,7.400684
CENTRAL WEST & ORANA,92,108012478,29/7/04 13:22,23/5/16 10:43,FORBES,FORBES SHIRE COUNCIL,2900,5170,117,<Null>,23/5/16 10:43,1/1/00,23/5/16 10:43,8992,<Null>,<Null>,Polygon,0.456649,5.152534
CENTRAL WEST & ORANA,100,108012486,29/7/04 13:22,16/6/16 9:18,LACHLAN,LACHLAN SHIRE COUNCIL,4600,6440,244,<Null>,16/6/16 9:18,1/1/00,16/6/16 9:18,9915,<Null>,<Null>,Polygon,1.442812,8.758842
CENTRAL WEST & ORANA,103,108012490,29/7/04 13:22,18/5/17 15:47,MID-WESTERN REGIONAL,MID-WESTERN REGIONAL COUNCIL,5270,5202,620,<Null>,18/5/17 15:48,1/1/00,18/5/17 15:49,21629,<Null>,<Null>,Polygon,0.840677,7.058271
CENTRAL WEST & ORANA,106,108012493,29/7/04 13:22,21/10/16 13:35,OBERON,OBERON COUNCIL,6100,5231,123,<Null>,21/10/16 13:36,1/1/00,21/10/16 13:36,14811,<Null>,<Null>,Polygon,0.353223,4.843455
CENTRAL WEST & ORANA,115,108012503,29/7/04 13:22,25/5/16 15:14,WEDDIN,WEDDIN SHIRE COUNCIL,8100,4430,43,<Null>,25/5/16 15:15,1/1/00,25/5/16 15:15,9109,<Null>,<Null>,Polygon,0.332728,4.172649
CENTRAL WEST & ORANA,129,108012517,29/7/04 13:22,26/4/17 8:47,COWRA,COWRA SHIRE COUNCIL,2350,4420,42,<Null>,26/4/17 8:47,1/1/00,26/4/17 8:48,20709,<Null>,<Null>,Polygon,0.273479,4.304551
CENTRAL WEST & ORANA,131,108012519,29/7/04 13:22,15/12/16 8:33,GILGANDRA,GILGANDRA SHIRE COUNCIL,2950,6400,240,<Null>,15/12/16 8:39,1/1/00,15/12/16 8:44,16813,<Null>,<Null>,Polygon,0.459404,3.881337
CENTRAL WEST & ORANA,132,108012520,29/7/04 13:22,11/11/16 8:59,LITHGOW,LITHGOW CITY COUNCIL,4870,6221,222,<Null>,11/11/16 9:00,1/1/00,11/11/16 9:35,15577,<Null>,<Null>,Polygon,0.436684,5.063147
CENTRAL WEST & ORANA,144,108012533,29/7/04 13:22,24/8/16 15:51,NARROMINE,NARROMINE SHIRE COUNCIL,5850,6510,251,<Null>,24/8/16 15:52,1/1/00,24/8/16 15:53,12688,<Null>,<Null>,Polygon,0.503339,4.152874
